pair,ab_edges,odds,p
IT-ET Glut~IT-ET Glut,4059,14.27,0.0
IT-ET Glut~Astro-Epen,344,0.09,0.0
Astro-Epen~Astro-Epen,2692,5.17,0.0
NP-CT-L6b Glut~NP-CT-L6b Glut,275,19.69,6.1108419119152404e-192
IT-ET Glut~OPC-Oligo,231,0.21,9.316301048357548e-138
Astro-Epen~OPC-Oligo,886,2.08,2.492272191727111e-49
IT-ET Glut~NP-CT-L6b Glut,140,0.42,6.730928561685039e-22
NP-CT-L6b Glut~Astro-Epen,117,0.43,1.7594354324619468e-19
OPC-Oligo~OPC-Oligo,369,1.8,5.801269087827814e-19
IT-ET Glut~Vascular,372,0.62,7.129341289010405e-15
IT-ET Glut~Immune,24,0.24,2.5716065785653477e-14
CTX-MGE GABA~Astro-Epen,233,0.67,7.995867636798774e-08
OPC-Oligo~Vascular,230,1.41,1.1158620322761157e-05
OPC-Oligo~Immune,46,2.1,3.602374303492699e-05
Vascular~Immune,35,2.13,0.0001736202279700768
CTX-MGE GABA~CTX-MGE GABA,38,0.56,0.0002428083424027223
NP-CT-L6b Glut~OPC-Oligo,59,0.62,0.00026506847783079655
IT-ET Glut~CTX-MGE GABA,411,1.27,0.000323533947067748
CTX-CGE GABA~Vascular,39,1.89,0.000723388304945132
CTX-MGE GABA~Vascular,122,1.42,0.0007915783256001738
NP-CT-L6b Glut~CTX-CGE GABA,3,0.25,0.005474203703087752
NP-CT-L6b Glut~CTX-MGE GABA,64,1.45,0.008085269908644239
IT-ET Glut~CTX-CGE GABA,69,0.7,0.011280912301000092
CTX-CGE GABA~CTX-CGE GABA,9,2.38,0.017728320894585474
CTX-CGE GABA~CTX-MGE GABA,25,1.65,0.025478502961795595
Astro-Epen~Vascular,465,1.12,0.0665337128558732
CTX-CGE GABA~Astro-Epen,64,0.79,0.111343622509817
CTX-CGE GABA~Immune,6,1.92,0.1414271422180737
Vascular~Vascular,115,0.88,0.20776581487786944
CTX-CGE GABA~OPC-Oligo,37,1.24,0.2438693837298596
CTX-MGE GABA~OPC-Oligo,115,0.91,0.34859588513897016
Astro-Epen~Immune,68,1.15,0.3582353969805624
NP-CT-L6b Glut~Immune,12,1.31,0.39448075789165665
Immune~Immune,1,0.38,0.5263976045156233
NP-CT-L6b Glut~Vascular,62,0.94,0.7398876541830826
CTX-MGE GABA~Immune,13,1.0,1.0
